upc,product_description,commodity,brand,product_size
4017367017,P S SNOWMAN PASTA,pasta,Pasta Shoppe,10OZ
4017367018,PASTA SHOPPE GRLFRND PSTA,pasta,Pasta Shoppe,14 OZ
4017367029,PASTA SHOP TAILGATE PASTA,pasta,Pasta Shoppe,10OZ
4017367041,PSTA SHP APPL ORCHRD PSTA,pasta,Pasta Shoppe,10OZ
4078498650,SAN MARZANO MARINARA SCE,pasta sauce,San Marzano,26 OZ
4112900005,CLSCO BASIL PESTO SAUCE,pasta sauce,Classico,10 OZ
4112900006,CLASSICO SUN DRIED TOMATO,pasta sauce,Classico,10    OZ
4112907700,CLSCO SAUCE TOMATO/GARLIC,pasta sauce,Classico,26 OZ
4112907702,CLSCO SAUCE ITALIAN SAUSG,pasta sauce,Classico,26 OZ
4112907705,CLASSICO VODKA SAUCE,pasta sauce,Classico,26 OZ
4112907712,CLSCO SAUCE TOMATOE BASIL,pasta sauce,Classico,26 OZ
4112907722,CLASSICO MUSH&RIPE OLIVES,pasta sauce,Classico,26 OZ
4112907742,CLASSICO SPICY RED PEPPER,pasta sauce,Classico,26 OZ
4112907755,CLASSICO SUN DRIED TOMATO,pasta sauce,Classico,26 OZ
4112907762,CLASSICO FOUR CHEESE SCE,pasta sauce,Classico,26 OZ
4112907763,CLASSICO ALFREDO DI ROMA,pasta sauce,Classico,16    OZ
4112907764,CLSCO ALFREDO ROAST GARLC,pasta sauce,Classico,16 OZ
4112907769,CLASSICO SUN DRIED TOMATO,pasta sauce,Classico,16 OZ
4112907775,CLSCO SPICY TOMATO SAUCE,pasta sauce,Classico,26 OZ
4112907776,CLSCO SAUCE FLORENTINE,pasta sauce,Classico,26 OZ
4112907782,CLASSICO SORRENTO/GAR SAU,pasta sauce,Classico,26 OZ
4112907785,CLASSICO\TRIPLE MUSHROOM,pasta sauce,Classico,26 OZ
4112907787,CLASSICO TOMATO ALFREDO,pasta sauce,Classico,26 OZ
4112907790,CLASSICO SWEET BASIL MARI,pasta sauce,Classico,26    OZ
4112927200,CLASSICO GRD VEG PRIMAVER,pasta sauce,Classico,26 OZ
4112927445,CLSCO CABERNET MARINARA,pasta sauce,Classico,26 OZ
4112927463,CLASSICO FOUR CHEESE ALFR,pasta sauce,Classico,16 OZ
4119606056,PROGRESSO WHITE CLAM SCE,pasta sauce,Classico,15 OZ
4119606063,PROGRESSO RED CLAM SAUCE,pasta sauce,Classico,15 OZ
4119607102,PROGRESSO MARINARA SCE,pasta sauce,Classico,12 OZ
4127857643,B F PASTA SCE MARINARA,pasta sauce,B F,24 OZ
4144900110,KRUSTEAZ COMP BM PANCAKE,pancake mixes,Krusteaz,32 OZ
4144900128,KRUSTEAZ BLUEBRY PANCAKE,pancake mixes,Krusteaz,28 OZ
4144900186,KRUSTEAZ BELGIAN WAFFLE,pancake mixes,Krusteaz,28 OZ
4146031105,PIONEER CMPLT BTRMLK PNCK,pancake mixes,Pioneer,32 OZ
4146031120,PIONEER NF BTRMLK PNCK MX,pancake mixes,Pioneer,32 OZ
4149000002,PENNANT WAFFLE SYRUP,syrups,Pennant,12 OZ
4149000101,BOB WHT GOLDEN SYRUP,syrups,Pennant,16 OZ
4149000102,BOB WHT CRYST WHT SYRUP,syrups,Pennant,16 OZ
4149000246,PENNANT WAFFLE SYRUP,syrups,Pennant,24 OZ
4149000247,PENNANT SYRUP BTR MAPLE,syrups,Pennant,24 OZ
4149001111,BOB WHT CRYS WHT SYR PLST,syrups,Pennant,32 OZ
4149073614,KING SYRUP GOLDEN,syrups,Pennant,16 OZ
4149080982,PENNANT LITE SYRUP,syrups,Pennant,24 OZ
4163100055,LUND SWEDE PANCAKE MIX,pancake mixes,Lund Swede,12.00Z
4169513624,BRASWELL BLUEBERRY SYRUP,syrups,Braswell,8 OZ
4300000026,LOG CABIN SYRUP REG,syrups,Log Cabin,P    24 OZ
4300000036,LOG CABIN ORIG SYRUP,syrups,Log Cabin,12    OZ
4300000037,LOG CABIN SYRUP REG,syrups,Log Cabin,P    24 OZ
4300000039,LOG CABIN ORIG SYRUP,syrups,Log Cabin,36    OZ
4300000051,LOG CABIN LITE SYRUP,syrups,Log Cabin,12 OZ
4300000052,LOG CABIN LITE PITCHER PACK,syrups,Log Cabin,24 OZ
4300000064,COUNTRY KITCHEN\ LITE 64,syrups,Log Cabin,24 FL OZ
4300000066,LOG CABIN CNTRY KIT SYRUP,syrups,Log Cabin,24 OZ
4300000113,CNTRY KITCHEN\BTTER SYRUP,syrups,Log Cabin,24 FL OZ
4300000115,LOG CABIN BUTTER SYRUP,syrups,Log Cabin,24 OZ
4300000120,LOG CABIN SUGAR FREE,syrups,Log Cabin,12 OZ
4300034901,LOG CABIN MAPLE PANCAKE/WAFFLE,syrups,Log Cabin,##########
4380045001,BUITONI MARINARA SAUCE,pasta sauce,Buitoni,14 OZ
4380045005,CONTADINA MARINARA SAUCE,pasta sauce,Buitoni,26 OZ
4380045006,BUITONI MUSHROOM SAUCE,pasta sauce,Buitoni,26 OZ
4380045007,BUITONI GARDEN VEG SAUCE,pasta sauce,Buitoni,26 OZ
4380045008,BUITONI TOM/GRLC/ON SAUCE,pasta sauce,Buitoni,26 OZ
4420900085,LOG CABIN SUGR FREE SYRUP,syrups,Log Cabin,24OZ
4420929008,MRS BUTTERWORTH\LT SYRUP,syrups,Mrs Butterworth,36 FL OZ
4420929012,M BTTRWRTH LITE SYRUP,syrups,Mrs Butterworth,12 OZ
4420929024,MRS BUTTERWORTH LITE SYRU,syrups,Mrs Butterworth,24 OZ
4420929047,MR BUTTERWORTH SUGAR FREE,syrups,Mrs Butterworth,24 OZ
4420930112,MRS BUTTERWORTH PANCAKE M,pancake mixes,Mrs Butterworth,32 OZ
4420930139,M BTTRW BMC MIX PP1.69,pancake mixes,Mrs Butterworth,2 LB
4420930142,MRS BTRWRTH PCAKE MIX COM,pancake mixes,Mrs Butterworth,32 OZ
4420930321,M BTTRWRTH PCKE MX OLD F,pancake mixes,Mrs Butterworth,32 OZ
4420979129,MRS BUTTERWORTH SYRUP,syrups,Mrs Butterworth,24 OZ
4420979138,MRS BUTTERWORTH SYRUP,syrups,Mrs Butterworth,24 OZ
4420979224,M BTTRWRTH SYRUP ORIGINAL,syrups,Mrs Butterworth,12 OZ
4420979347,M BUTTWRTH ORIGINAL SYRUP,syrups,Mrs Butterworth,36 OZ
4732500750,MUELLER R/C ELBOWS,pasta,Mueller,12 OZ
4732500751,MUELLER R/C PENNE RIGATE,pasta,Mueller,12 OZ
4732500752,MUELLER R/C ROTINI,pasta,Mueller,12 OZ
4732500753,MUELLER R/C SPAGHETTI,pasta,Mueller,12 OZ
4732500754,MUELLER R/C LASAGNA,pasta,Mueller,12 OZ
4732530205,MUELLER MINI PENNE,pasta,Mueller,16 OZ
4732530208,ITALIAN MOSTACCIOLI,pasta,Mueller,17.7 OZ
4747900008,RAOS ITAL SAUS&MUSHRM SCE,pasta sauce,Raos,24 OZ
4747900009,RAOS ITAL PEP & MUSH SAUC,pasta sauce,Raos,24 OZ
4747900014,RAOS CUORE POMODORO SAUCE,pasta sauce,Raos,24    OZ
4747900026,RAOS PASTA SPAGHETTI,pasta,Raos,17 OZ
4747900027,RAOS PASTA LINGUINE,pasta,Raos,17 OZ
4747900029,RAOS PASTA PENNE RIGATE,pasta,Raos,17 OZ
4747900034,RAOS PASTA RIGATONI,pasta,Raos,17.6 OZ
4747900035,RAOS PASTA FUSILLI,pasta,Raos,17 OZ
4747900037,RAOS PASTA STROZZAPPRETI,pasta,Raos,17 OZ
4747900038,RAOS PASTA TRI-CLR FARFLL,pasta,Raos,17 OZ
4747900040,RAOS PASTA CASERECCE,pasta,Raos,17 OZ
4767428776,CASTELNA FOGLIE D AUTUNNO,pasta,Castelna,17.6 OZ
4767441131,CASTELNA TRECCE DEL ORTO,pasta,Castelna,17.6 OZ
4800105010,KARO BLUE LABEL SYRUP,syrups,Karo,16 OZ
4800105040,KARO BLUE SYRUP,syrups,Karo,32 OZ
4800105110,KARO RED LABEL SYRUP,syrups,Karo,16 OZ
4800105140,KARO LITE RD CORN SYRUP,syrups,Karo,32 OZ
4800105210,KARO WAFFLE SYRUP,syrups,Karo,16 OZ
4800105230,KARO GREEN LABEL SYRUP,syrups,Karo,32 OZ
4800105515,GOLDEN GRIDDLE SYRUP ORIG,syrups,Karo,24 OZ
4817210042,CARA NONA PSTA GNOCCONI,pasta,Cara Nona,12.7 OZ
4817210044,CARA NONA PSTA ARMONICHE,pasta,Cara Nona,12.7 OZ
4823910502,WALNUT ACRES ORG MARN SCE,pasta sauce,Walnut Acres,25.5 OZ
4850550721,LUCINI PSTA SCE SPCY TSCA,pasta sauce,Lucini,25.5 OZ
4850555720,LUCINI PSTA SCE ARTICHOKE,pasta sauce,Lucini,25.5 OZ
4850555721,LUCINI PSTA SCE OLIVE&WLD,pasta sauce,Lucini,25.5 OZ
4850555722,LUCINI PSTA SCE EGGPLANT&,pasta sauce,Lucini,25.5 OZ
5100001210,PREGO MUSH & GRN PEPPER S,pasta sauce,Prego,27.75 OZ
5100001212,PREGO MUSHROOM & GARLIC,pasta sauce,Prego,26    OZ
5100001214,PREGO TOM/ONION/GARLIC SC,pasta sauce,Prego,26 OZ
5100001588,CLUB-1PREGO SPAG SAUCE,pasta sauce,Prego,67  OZ
5100001598,PREGO SAUCE W/MUSHROOMS,pasta sauce,Prego,67 OZ
5100002511,PREGO SPAG SAUCE PLAIN,pasta sauce,Prego,48 OZ
5100002548,PREGO SPAG SAUCE PLAIN,pasta sauce,Prego,14 OZ
5100002549,PREGO REG SPAGHETTI SAUCE,pasta sauce,Prego,26 OZ
5100002792,PREGO MEAT PASTA SAUCE,pasta sauce,Prego,48    OZ
5100002794,PREGO SPAG SAUCE MEAT,pasta sauce,Prego,26 OZ
5100002796,PREGO MUSHROOM SPAG SAUCE,pasta sauce,Prego,26 OZ
5100002797,PREGO MUSHROOM SPAG SAUCE,pasta sauce,Prego,48 OZ
5100002799,PREGO MARINARA SAUCE,pasta sauce,Prego,25 OZ
5100005043,PREGO THREE CHEESE PASTA,pasta sauce,Prego,28    OZ
5100005044,PREGO GARDEN COMBINATON,pasta sauce,Prego,25.75 OZ
5100005045,PREGO ZESTY MUSH/X SPICY,pasta sauce,Prego,26 OZ
5100008725,PREGO X CKY GARDEN COMBO,pasta sauce,Prego,48 OZ
5100010546,PREGO RST GARLIC PARMESAN,pasta sauce,Prego,26 OZ
5100011464,PREGO MUSHROOM SUPREME SC,pasta sauce,Prego,25.75 OZ
5100012013,(S)PREGO RICOTTA PARMESAN,pasta sauce,Prego,28    OZ
5100012014,PREGO MUSHROOM PARMSAN,pasta sauce,Prego,26 OZ
5100012909,PREGO RED PEPPER/GRLIC,pasta sauce,Prego,26 OZ
5100012910,PREGO RSTD GRLC/HRB SAUCE,pasta sauce,Prego,26 OZ
5100012911,PREGO ITALIAN SAUSAGE,pasta sauce,Prego,25.6 OZ
5100012912,PREGO HAMBURGER PASTA SCE,pasta sauce,Prego,26 OZ
5100013281,PREGO MINI MEATBALL PASTA,pasta sauce,Prego,26    OZ
5100013283,PREGO CHICKEN W/PARMESAN,pasta sauce,Prego,27.75 OZ
5100013826,PREGO PASTA BAKE TOM/GAR/,pasta sauce,Prego,27.50 OZ
5100013827,PREGO THREE CHSE MARINARA,pasta sauce,Prego,27.75 OZ
5100013828,PREGO MUSRM GAR&ONION SCE,pasta sauce,Prego,27.5 OZ
5100013829,PREGO PASTA BAKE SAUC,pasta sauce,Prego,27.75 OZ
5100013830,PREGO HEARTY MEAT SAUCE,pasta sauce,Prego,27.75 OZ
5100014985,PREGO ITALIAN SAUSAGE,pasta sauce,Prego,25.6 OZ
5100014986,PREGO REG SPAGHETTI SAUCE,pasta sauce,Prego,26 OZ
5100014987,PREGO SPAG SAUCE MEAT,pasta sauce,Prego,26 OZ
5100015055,PREGO HEARTY MT MEATBALL,pasta sauce,Prego,27.5 OZ
5100015056,PREGO HEARTY MT ITALIAN S,pasta sauce,Prego,27.5 OZ
5100015057,PREGO HEARTY MT FRSH MUSH,pasta sauce,Prego,27.5 OZ
5100015194,PREGO MUSHROOM SPAG SAUCE,pasta sauce,Prego,26 OZ
5100015554,PREGO HEARTY 3 MEAT SUPRM,pasta sauce,Prego,27.5 OZ
5122300002,JOEYS POTS&PANS VODKA SCE,pasta sauce,Joey's,24 OZ
5150002681,SMUCKERS BLACKBERRY SYRUP,syrups,Smuckers,12 OZ
5150002682,SMUCKER BLUEBRY FRUIT SYR,syrups,Smuckers,12 OZ
5150002683,SMUCKER BOYSENBERRY SYRUP,syrups,Smuckers,12 OZ
5150002684,SMUCK RED RASPBERRY SYRUP,syrups,Smuckers,12 OZ
5150002685,SMUCKER STRAWBERRY SYRUP,syrups,Smuckers,12 OZ
5150004231,SMUCKERS SUGARFREE MAPLE,syrups,Smuckers,14.5 OZ
5346901001,DAVES GLDN HRLM PSTA SCE,pasta sauce,Dave's,26 OZ
5346901002,DAVES SCE ORGNC RD HEIRLM,pasta sauce,Dave's,26 OZ
5346901003,DAVES WLD MSHRM PSTA SCE,pasta sauce,Dave's,26 OZ
5346901004,DAVES ORG RSTD GAR&SWT BS,pasta sauce,Dave's,26 OZ
5390000031,CARY SUGARFREE SYRUP,syrups,Cary's,12 OZ
5390000032,CARY S SUGR FREE SYRUP,syrups,Cary's,24 OZ
5390002015,CARY PURE MAPLE SYRUP,syrups,Cary's,8 OZ
5390002025,CARYS PURE MAPLE SYRUP,syrups,Cary's,12.5 OZ
5861006232,BROTHERS SPAGHETTI SAUCE,pasta sauce,Brother's,23OZ
6138914020,VRMT GLD PURE MPL SYRP,syrups,Vermont Gold,8.5 OZ
6172005010,KARO BLUE LABEL SYRUP,syrups,Karo,16 OZ
6172005040,KARO BLUE SYRUP,syrups,Karo,32 OZ
6172005110,KARO RED LABEL SYRUP,syrups,Karo,16 OZ
6172005140,KARO LITE RD CORN SYRUP,syrups,Karo,32 OZ
6172005180,KARO RED SYRUP,syrups,Karo,GAL
6172005210,KARO WAFFLE SYRUP,syrups,Karo,16 OZ
6172005230,KARO GREEN LABEL SYRUP,syrups,Karo,32 OZ
6172075181,KARO CORN SYRUP W/BRW SGR,syrups,Karo,16 OZ
6414404236,CHEF PIZZA SAUCE CHEESE,pasta sauce,Chef Pizza,15 OZ
6566711853,ANNIE CHNS SPCY HUN NDLE,pasta,Annie Chns,8 OZ
6566712285,ANNIE CHNS THAI BASL NDLE,pasta,Annie Chns,8 OZ
6738703004,DREAMFIELD SPAGHETTI,pasta,Dreamfield,16 OZ
6738703009,DREAMFIELD ELBOW MAC,pasta,Dreamfield,16 OZ
6738703019,DREAMFIELD PENNE RIGATE,pasta,Dreamfield,16 OZ
6738703055,DREAMFIELD LINGUINE,pasta,Dreamfield,16 OZ
6806202137,ORZO ITALPASTA,pasta,Orzo,2 LB
6971911121,PATSY S MARINARA SAUCE,pasta sauce,Patsy's,16 OZ
6971911131,PATTY  MARINARA SAUCE,pasta sauce,Patsy's,24 OZ
6971911221,PATSY TOM/BASIL PASTA SCE,pasta sauce,Patsy's,16 OZ
6971911231,PATSYS TOMATO BASIL SAUCE,pasta sauce,Patsy's,24 OZ
6971911321,PATSY FRA-DIAVOLO SAUCE,pasta sauce,Patsy's,16 OZ
6971911331,PATSYS FRA DIAVOTO SAUCE,pasta sauce,Patsy's,24 OZ
6971911421,PATSY PUTTANESCA SAUCE,pasta sauce,Patsy's,16 OZ
6971911431,PATSYS PUTTANESCA SCE 24Z,pasta sauce,Patsy's,KH# 61780
6971911521,PATSY VODKA PASTA SAUCE,pasta sauce,Patsy's,16 OZ
6971911531,PATSYS VODKA SAUCE 24 OZ,pasta sauce,Patsy's,KH# 61779
6971911721,PATSY PIZZALOLA SAUCE,pasta sauce,Patsy's,16 OZ
6971911731,PATTY PIZZAILO SAUCE,pasta sauce,Patsy's,24 OZ
6971941100,PATSY RSTD YLW/RED PEPPER,pasta sauce,Patsy's,11.6
6971941200,PATSY ROASTED EGGPLANT,pasta sauce,Patsy's,11.6
6971941400,PATSY ROASTED ONION 12 OZ,pasta sauce,Patsy's,KH# 69333
7021812015,PASTARISO BRN RICE SPAG,pasta,Pastariso,10 OZ
7030500701,HOWARDS PURE MAPLE SYRUP,syrups,Howard's,8.5 OZ
7065070051,ARLOWE SPAG NOTTA PASTA,pasta,Arlow,1 LB
7065070052,NOTTA PASTA LINGUINE,pasta,Notta,1 LB
7065070053,NOTTA PASTA FETTUCCINE,pasta,Notta,P     1 LB
7067000690,DAVINCI GNOCCHI W/POTATO,pasta,DaVinci,16 OZ
7067000697,DAVINCI FUSILE TRI COLOR,pasta,DaVinci,16 OZ
7067000721,DA VINCI LASAGNA 16 OZ,pasta,DaVinci,KH# 6862
7067000722,DA VINCI FETTUCCINE,pasta,DaVinci,1 LB
7067000723,DA VINCI LINGUINE,pasta,DaVinci,16 OZ
7067000725,DA VINCI SPAG/VERMICELLI,pasta,DaVinci,1 LB
7067000726,DAVINCI\PASTA SPAGHETTI,pasta,DaVinci,16 OZ
7067000727,DA VINCI RIGATONI,pasta,DaVinci,P    16 OZ
7067000728,DA VINCI FUSILLI SPRINGS,pasta,DaVinci,1 LB
7067000729,DAVINCI RIGATE MOSTACO,pasta,DaVinci,16 OZ
7067000730,DA VINCI GNOCCHI,pasta,DaVinci,16 OZ
7067000731,DAVINCI CONCHI SEA SHELLS,pasta,DaVinci,16 OZ
7067000732,DA VINCI ROTELLE WAGON WH,pasta,DaVinci,16 OZ
7067000733,DA VINCI ROSE MARIA ORZO,pasta,DaVinci,1 LB
7067000735,DA VINCI FARFALLE MEDIA B,pasta,DaVinci,1 LB
7067000736,DA VINCI CANNELONI MANICOTTI,pasta,DaVinci,8 OZ
7067000738,DA VINCI SPINACH NESTS,pasta,DaVinci,16 OZ
7067000739,DA VINCI FETTUCCINE NESTS,pasta,DaVinci,16 OZ
7067000740,DAVINCI CUT ZITI,pasta,DaVinci,16 OZ
7067000741,DA VINCI ROTINI,pasta,DaVinci,1 LB
7067000742,DA VINCI JUMBO SHELLS,pasta,DaVinci,P    12 OZ
7067000749,DAVINCI VARITY TRI COLOR,pasta,DaVinci,16 OZ
7067000751,DAVINCI ANGEL HAIR NESTS,pasta,DaVinci,1 LB
7067000840,DAVINCI REGULR TORTELLINI,pasta,DaVinci,7    OZ
7067000841,DAVINCI SPINCH TORTELLINI,pasta,DaVinci,7    OZ
7067000843,DAVINCI MULTCLR TORTELLIN,pasta,DaVinci,7    OZ
7067000846,DA VINCI WHL WHT PENNE,pasta,DaVinci,12 OZ
7067000847,DA VINCI WHL WHT ELBOWS,pasta,DaVinci,12 OZ
7067000871,DAVINCI ORG SPAGHETTI,pasta,DaVinci,16    OZ
7067000872,DA VINCI ITL ORG FETTUCIN,pasta,DaVinci,1 LB
7067000875,DA VINCI ITL ORG PENNE,pasta,DaVinci,1 LB
7067000876,DA VINCI ITL ORG ROTINI,pasta,DaVinci,P     1 LB
7067000877,DA VINCI ITL ORG BOWTIES,pasta,DaVinci,1 LB
7075304162,ANTOINES CAVATAPPI 12 OZ,pasta,Antoine's,KH# 2793
7079624005,BELLINO GNOCCHI W/SPIN,pasta,Bellino,16 OZ
7079670001,CENTO WHITE CLAM SAUCE,pasta sauce,Cento,10.5 OZ
7079670002,CENTO CLAM SAUCE RED,pasta sauce,Cento,10.5 OZ
7079691000,BELLINO FLY PREPARE SPAG SCE,pasta sauce,Bellino,32 OZ
7092004128,KNOTTS BOYSENBERRY SYRUP,syrups,Knott's,12 OZ
7107200320,ALESSI PASTA ORECCHIETTE,pasta,Alessi,16 OZ
7107200322,ALESSI CAVATELLI PASTA,pasta,Alessi,16 OZ
7107200324,ALESSI PASTA CASARECCI,pasta,Alessi,16 OZ
7107200406,ALESSI FRA DIAVOLO SAUCE,pasta sauce,Alessi,24 OZ
7107201136,ALESSI RASP WHT BALSAMIC,pasta,Alessi,8.5 OZ
7107201237,ALESSI PESTO SAUCE,pasta sauce,Alessi,3.5 OZ
7130000001,RONZONI ZITI RIGATI,pasta,Ronzoni,16 OZ
7130000002,RONZONI CUT ZITI,pasta,Ronzoni,16 OZ
7130000008,RONZONI SPAGHETTI #8,pasta,Ronzoni,16 OZ
7130000009,RONZONI\THIN SPAG NOODLES,pasta,Ronzoni,16 OZ
7130000010,RONZONI VERMICELLI #10,pasta,Ronzoni,16 OZ
7130000011,RONZONI CAPELLINI,pasta,Ronzoni,SO   16 OZ
7130000012,RONZONI ANGEL HAIR PASTA,pasta,Ronzoni,12 OZ
7130000017,RONZONI LINGUINE NO 17,pasta,Ronzoni,1 LB
7130000020,RONZONI ANGEL HAIR PASTA,pasta,Ronzoni,16 OZ
7130000022,RONZONI MEDIUM SHELLS,pasta,Ronzoni,16 OZ
7130000027,RONZONI\RIGATONI NOODLES,pasta,Ronzoni,16 OZ
7130000035,RONZONI ELBOW MACARONI,pasta,Ronzoni,16 OZ
7130000036,RONZONI CVTPPI ELBW TWIST,pasta,Ronzoni,16 OZ
7130000047,RONZONI ORZO NO 47,pasta,Ronzoni,1 LB
7130000063,RONZONI TRI COLOR ROTINI,pasta,Ronzoni,12 OZ
7130000066,RONZONI BOW TIES,pasta,Ronzoni,CR   16 OZ
7130000075,RONZONI ROTINI,pasta,Ronzoni,16 OZ
7130000076,RONZONI PENNE RIGATE,pasta,Ronzoni,16 OZ
7130000080,RONZONI CURLY LASAGNE NO,pasta,Ronzoni,1 LB
7130000081,RONZONI\OVEN RDY LASAGNE,pasta,Ronzoni,8 OZ
7130000086,RONZONI MOSTACCIOLI RGATI,pasta,Ronzoni,16 OZ
7130000088,RONZONI SPAGHETTI,pasta,Ronzoni,8 OZ
7130000122,RONZONI TRIO ITALIANO,pasta,Ronzoni,16 OZ
7130000124,RONZONI ROTELLE,pasta,Ronzoni,16 OZ
7130000126,RONZONI GERMELLI,pasta,Ronzoni,16 OZ
7130000135,RONZONI FETTUCCINE FLORENTINE,pasta,Ronzoni,12 OZ
7130000136,RONZONI\ROASTED GAR FETT,pasta,Ronzoni,12 OZ
7130000140,RONZONI TOM BSL LINGUINE,pasta,Ronzoni,12 OZ
7130000141,RONZONI LMN PPR ANGL HAIR,pasta,Ronzoni,12 OZ
7130030010,RONZONI 3 CHS TORTELLINI,pasta,Ronzoni,8.8 OZ
7130030011,RONZONI RICOTTA/SPIN TORT,pasta,Ronzoni,8.8 OZ
7130030013,RONZONI CHS/GRLC TORTELLI,pasta,Ronzoni,8.8 OZ
7140300201,FERRARA WHITE CLAM SAUCE,pasta sauce,Ferrara,10.5 OZ
7140303210,FERRARA GNOCCHI W/POTATO,pasta,Ferrara,16 OZ
7140303301,FERRARA LASAGNA BXD,pasta,Ferrara,16 OZ
7140303303,FERRARA JUMBO SHELLS BXD,pasta,Ferrara,12 OZ
7140303309,FERRARA CAPELLINI PASTA,pasta,Ferrara,16 OZ
7140303340,FERRARA PENNE MOSTACCIOLI,pasta,Ferrara,16 OZ
7151800016,*HODGE WHEAT SPAGHETTI,pasta,Hodgson Mills,16 OZ
7151800017,*HODGE WHEAT LASAGNA,pasta,Hodgson Mills,8 OZ
7151800018,H M WHL WHT ELBOW MACARONI,pasta,Hodgson Mills,16 OZ
7151800020,H M WHL WHT EGG NOODLES,pasta,Hodgson Mills,12 OZ
7151800022,HODGSON WW SPINACH SPA,pasta,Hodgson Mills,16 OZ
7151800023,H M WHL WHEAT FETTUCCINI,pasta,Hodgson Mills,P    12 OZ
7151800024,HODG MILL WHO WHT SPIRALS,pasta,Hodgson Mills,NO TAG
7151800025,HODGSON SEMO VEGGIE BO,pasta,Hodgson Mills,16.00  OZ
7151800026,HOD MILL VEGGIE ROTINI,pasta,Hodgson Mills,N    16 OZ
7151800030,H M WHL WHT RADIATORE 16Z,pasta,Hodgson Mills,KH# 20749
7151800033,H M WHL WHT ANGEL HAIR,pasta,Hodgson Mills,16 OZ
7151802022,HODGSON BUTERMILK PANC,pancake mixes,Hodgson Mills,2 LB
7151802024,HODGSON  BUCKWHEAT PAN,pancake mixes,Hodgson Mills,32 OZ
7151802028,HM MUTLIGRN W/FLXSD PNCK,pancake mixes,Hodgson Mills,16 OZ
7171000134,R&F VERMICELLI,pasta,R&F,16 OZ
7171000138,R&F MOSTACCIOLI PASTA,pasta,R&F,16 OZ
7171000159,R&F CURLY LASAGNA,pasta,R&F,16 OZ
7171000177,RF MANICOTTI,pasta,R&F,8 OZ
7171000225,R&F SPAGHETTI-POLY,pasta,R&F,12 OZ
7171000670,R&F KLUSKI NOODLES,pasta,R&F,12 OUNCE
7173000676,WACKY MAC VEGGIE SPIRALS,pasta,Wacky Mac,12 OZ
7173000677,WACKY MAC VEGGIE SHAPES,pasta,Wacky Mac,12 OZ
7173000715,NO YOLKS EXTRA BROAD NOOD,pasta,No Yolks,12 OZ
7173000716,NO YOLKS BROAD EGG NOODLE,pasta,No Yolks,12 OZ
7173000720,NO YOLKS DUMPLINGS NOODLE,pasta,No Yolks,12 OZ
7173000722,NO YOLKS X BRD EGG NOODLE,pasta,No Yolks,6 OZ
7173000728,NO YOLKS BROAD EGG NOODLE,pasta,No Yolks,6 OZ
7173000729,NO YOLKS DMPLNGS EGG NDLS,pasta,No Yolks,6 OZ
7173000731,NO YOLKS FINE EGG NOODLES,pasta,No Yolks,6 OZ
7209800100,M WEISS X-FINE NOODLES,pasta,Mrs Weiss,10 OZ
7209800102,WEISS W NOODLES 9297,pasta,Mrs Weiss,10 OZ
7209800200,MRS WEISS KLUSKI NOODLES,pasta,Mrs Weiss,8 OUNCE
7209800250,MRS WEISS KLUSKI EGG NDL,pasta,Mrs Weiss,16 OZ
7224825064,AMORE PESTO IN TUBES,pasta sauce,Amore,2.8 OZ
7306000210,HSE HERB BLKSTRP MOLASSES,syrups,HSE,15 OZ
7331643113,ENRICO SPAG SCE-TRADTL,pasta sauce,Enrico,15.5 OZ
7331643210,ENRICO SPAGH SAUCE-N/S,pasta sauce,Enrico,26 OZ
7349015069,KEDEM SAVION ELBOWS,pasta,Kedem,12 OZ
7468300007,MGF BLUEBERRY PANCAKE MIX,pancake mixes,Maple Grove,24 OUNCE
7468300008,MPL GRV PANCKE MIX BTR/HN,pancake mixes,Maple Grove,24    OZ
7468300009,MGF HNY BUCKWHEAT PNCK MX,pancake mixes,Maple Grove,24 OZ
7468300310,MAPLE GROVE SYRUP DRK AMB,syrups,Maple Grove,12.5 OZ
7468300312,VERMONT 100% PURE MAPLE SYRUP,syrups,Maple Grove,16 OZ
7468300313,MAPLE GROVE PURE DK MA,syrups,Maple Grove,8 OZ
7468300551,VERMONT S F PANCAKE SYRUP,syrups,Maple Grove,12 OZ
7468300552,COZY COTTAGE S/F SYRUP,syrups,Cozy Cottage,12 OZ
7468300554,COZY COTTAGE SYRUP S/FREE,syrups,Cozy Cottage,24 OZ
7468309945,EMERIL SCE PEPR PSTA,pasta sauce,Emeril's,26    OZ
7468309946,EMERIL HOMESTYLE MARINA R,pasta sauce,Emeril's,25 OZ
7468309947,EMERILS VODKA SAUCE,pasta sauce,Emeril's,25 OZ
7468309948,EMERILS PUTTANESCA SAUCE,pasta sauce,Emeril's,25 OZ
7468309949,EMERILS ROSTED GARLIC SCE,pasta sauce,Emeril's,25 OZ
7468309950,EMERILS KCKD UP TOMATO SC,pasta sauce,Emeril's,P    25 OZ
7468330800,MPL GRV PURE SYRP JUG,syrups,Maple Grove,16 OZ
7468390200,LOG CABIN SYRUP,syrups,Maple Grove,16.9 OZ
7488810119,MAYACMAS PESTO SAUCE,pasta sauce,Mayacmas,.50 OZ
7488820201,MAYA HOLLNDAISE SCE MX,pasta sauce,Mayacmas,1.1 OZ
7489000110,LYLES GOLDEN SYRUP TIN,syrups,Lyles,10.6 OZ
